accent_group,accent_group
southern,8492
welsh,2849
northern,2847
scottish,894
midlands,696
irish,462
american,373
spanish,77
indian,71
british,65
dutch,56
mandarin,55
french,52
east slavic,51
english,46
arabic,45
canadian,44
portuguese,44
turkish,36
west slavic,36
german,35
italian,33
australian,32
scandinavian,28
south slavic,25
cantonese,23
tagalog,18
romanian,15
thai,15
greek,14
nepali,13
hungarian,9
kurdish,9
hebrew,9
hausa,8
finnish,8
kiswahili,8
lithuanian,6
tamil,6
krio,6
ga,6
malay,5
yiddish,5
twi,5
catalan,4
estonian,4
kikuyu,4
yoruba,4
ibibio,3
fijian,3
fanti,3
mende,3
igbo,3
malayalam,3
latvian,3
xiang,3
uyghur,3
mongolian,3
kazakh,3
pashto,2
rotuman,2
satawalese,2
mauritian,2
gusii,2
shona,2
luo,2
ewe,2
maltese,2
tswana,2
ganda,2
chaldean,2
amazigh,2
bafang,2
ngemba,2
filipino,2
bavarian,2
korean,2
oriya,2
telugu,2
basque,2
burmese,2
luxembourgeois,1
yakut,1
chichewa,1
tatar,1
yapese,1
bamun,1
pohnpeian,1
mortlockese,1
lamotrekese,1
temne,1
malagasy,1
newari,1
armenian,1
nama,1
kabyle,1
yupik,1
rwanda,1
sa'a,1
sesotho,1
zulu,1
sinhala,1
kikongo,1
farsi,1
ashanti,1
akan,1
mandingo,1
kalanga,1
bai,1
kru,1
edo,1
japanese,1
cebuano,1
kanuri,1
chamorro,1
carolinian,1
shan,1
mizo,1
khmer,1
tibetan,1
hainanese,1
garifuna,1
konkani,1
gan,1
sardinian,1
hindko,1
kannada,1
sindhi,1
sylheti,1
chittagonian,1
wu,1
teochew,1
nandi,1
taishan,1
naxi,1
ebira,1
ilonggo,1
